APPLE,BREAD,BUTTER,CHEESE,CORN,DILL,EGGS,ICE CREAM,KIDNEY BEANS,MILK,NUTMEG,ONION,SUGAR,UNICORN,YOGURT,CHOCOLATE
 ,Bread,Butter,Cheese,Corn,Dill, , ,KidneyBeans,Milk,Nutmeg,Onion,Sugar, , Yogurt, Chocolate
 , ,Butter,Cheese, , , ,IceCream,KidneyBeans, ,Nutmeg, , , Unicorn, Yogurt, 
Apple, , ,Cheese,Corn,Dill,Eggs, ,KidneyBeans,Milk,Nutmeg,Onion, , Unicorn, Yogurt, Chocolate
Apple,Bread, ,Cheese, , , , ,KidneyBeans, ,Nutmeg, ,Sugar, Unicorn, , 
 ,Bread, , ,Corn, ,Eggs, ,KidneyBeans, , ,Onion, , , , 
Apple,Bread,Butter,Cheese,Corn, , ,IceCream, , , ,Onion, , Unicorn, , Chocolate
Apple, ,Butter, ,Corn,Dill, ,IceCream,KidneyBeans,Milk,Nutmeg,Onion,Sugar, , , 
 , , , ,Corn,Dill, , , , , , , , , , 
Apple,Bread, , ,Corn,Dill, ,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, , , 
Apple,Bread,Butter, , , , , ,KidneyBeans,Milk, ,Onion, , Unicorn, Yogurt, 
 , ,Butter, ,Corn,Dill, ,IceCream, , ,Nutmeg,Onion, , , , Chocolate
 ,Bread,Butter,Cheese,Corn, , ,IceCream, , , ,Onion,Sugar, Unicorn, Yogurt, Chocolate
 , ,Butter, , ,Dill,Eggs, , , ,Nutmeg, ,Sugar, , Yogurt, 
 , ,Butter, ,Corn,Dill,Eggs, , , ,Nutmeg,Onion, , , , 
 , ,Butter, ,Corn, ,Eggs, ,KidneyBeans, ,Nutmeg,Onion,Sugar, , Yogurt, Chocolate
 , , , , , , , , ,Milk,Nutmeg, ,Sugar, , , 
Apple,Bread, ,Cheese,Corn, , , ,KidneyBeans,Milk,Nutmeg,Onion,Sugar, Unicorn, Yogurt, Chocolate
Apple, , , ,Corn,Dill, ,IceCream,KidneyBeans,Milk, , , , Unicorn, , Chocolate
 , ,Butter, , ,Dill,Eggs, ,KidneyBeans, , , , , , Yogurt, 
 ,Bread,Butter, , , , ,IceCream,KidneyBeans,Milk, , , , Unicorn, , 
 , ,Butter, ,Corn,Dill, ,IceCream, ,Milk, ,Onion, , Unicorn, , Chocolate
 , , , , , , ,IceCream, , ,Nutmeg,Onion, , , , Chocolate
Apple,Bread,Butter, , , , ,IceCream,KidneyBeans, ,Nutmeg,Onion,Sugar, Unicorn, Yogurt, Chocolate
 , ,Butter, , , , ,IceCream,KidneyBeans, , , ,Sugar, Unicorn, , 
 , ,Butter, , ,Dill,Eggs,IceCream, ,Milk,Nutmeg, , , Unicorn, Yogurt, Chocolate
Apple,Bread, ,Cheese, , , , , , ,Nutmeg,Onion, , , , 
Apple,Bread, , ,Corn, , ,IceCream, , ,Nutmeg,Onion,Sugar, Unicorn, , 
Apple, ,Butter,Cheese,Corn,Dill, , , , ,Nutmeg, ,Sugar, , Yogurt, Chocolate
Apple,Bread, , ,Corn,Dill,Eggs, ,KidneyBeans,Milk, , , , , Yogurt, Chocolate
 , , ,Cheese, , , , ,KidneyBeans, , ,Onion, , , , Chocolate
 , , ,Cheese, ,Dill, , , ,Milk,Nutmeg, , , , , Chocolate
 , , ,Cheese, , ,Eggs, , , , ,Onion,Sugar, Unicorn, Yogurt, 
Apple, , , , ,Dill, , ,KidneyBeans,Milk, , , , , , 
Apple,Bread,Butter,Cheese,Corn,Dill,Eggs, , ,Milk, , , , Unicorn, Yogurt, Chocolate
 , ,Butter, ,Corn, , , , , , , , , , , 
 ,Bread,Butter,Cheese, , , , ,KidneyBeans, ,Nutmeg, ,Sugar, Unicorn, , Chocolate
Apple, ,Butter,Cheese, , ,Eggs, , , , ,Onion,Sugar, , Yogurt, 
Apple,Bread, ,Cheese, ,Dill,Eggs,IceCream, ,Milk, ,Onion, , Unicorn, Yogurt, Chocolate
 ,Bread, , ,Corn, , , , , , , , , Unicorn, , 
Apple, , ,Cheese,Corn,Dill,Eggs, ,KidneyBeans, , ,Onion,Sugar, Unicorn, , Chocolate
 , , , , , ,Eggs, ,KidneyBeans, ,Nutmeg, , , , Yogurt, 
 ,Bread,Butter, , ,Dill, ,IceCream,KidneyBeans, , , ,Sugar, , , 
Apple, , , , ,Dill, , , ,Milk, , ,Sugar, Unicorn, , 
 , , , , ,Dill, , , , ,Nutmeg, , , , , 
 ,Bread,Butter,Cheese,Corn, ,Eggs, ,KidneyBeans,Milk, ,Onion,Sugar, Unicorn, , 
 ,Bread, , , , , ,IceCream, , , , , , Unicorn, , 
Apple,Bread,Butter,Cheese,Corn,Dill, ,IceCream,KidneyBeans, ,Nutmeg,Onion,Sugar, , , 
 ,Bread,Butter, ,Corn,Dill, ,IceCream,KidneyBeans,Milk,Nutmeg, ,Sugar, , Yogurt, 
 ,Bread,Butter,Cheese,Corn, , , , ,Milk, , , , , , Chocolate
 ,Bread, ,Cheese, , , , , ,Milk, , , , Unicorn, Yogurt, Chocolate
Apple, , ,Cheese,Corn,Dill,Eggs,IceCream,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, , 
Apple, , , , ,Dill, ,IceCream,KidneyBeans, , , , , , , 
 , , ,Cheese,Corn,Dill,Eggs,IceCream,KidneyBeans,Milk, , ,Sugar, , , 
 ,Bread,Butter, ,Corn, ,Eggs, ,KidneyBeans,Milk,Nutmeg, , , Unicorn, Yogurt, 
Apple, , , ,Corn,Dill,Eggs, , ,Milk, , ,Sugar, , , 
 , , , , , ,Eggs, , , , , , , , , 
Apple, , ,Cheese, ,Dill, ,IceCream,KidneyBeans,Milk, ,Onion,Sugar, Unicorn, Yogurt, 
Apple,Bread, ,Cheese,Corn, ,Eggs,IceCream,KidneyBeans,Milk,Nutmeg, , , , Yogurt, 
 ,Bread, ,Cheese, , ,Eggs, ,KidneyBeans, , , ,Sugar, Unicorn, Yogurt, Chocolate
Apple,Bread, , , , , , ,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, Yogurt, Chocolate
 ,Bread,Butter,Cheese, , , ,IceCream,KidneyBeans, ,Nutmeg, , , , Yogurt, Chocolate
 , ,Butter, , , ,Eggs,IceCream,KidneyBeans,Milk,Nutmeg,Onion,Sugar, , Yogurt, Chocolate
Apple, ,Butter, ,Corn, , ,IceCream, , ,Nutmeg, , , Unicorn, , 
Apple,Bread,Butter, ,Corn, , ,IceCream, , ,Nutmeg,Onion, , , , Chocolate
 ,Bread,Butter, ,Corn, ,Eggs,IceCream,KidneyBeans,Milk,Nutmeg, , , Unicorn, Yogurt, 
Apple, ,Butter, ,Corn,Dill, , , ,Milk,Nutmeg,Onion, , Unicorn, Yogurt, Chocolate
Apple, ,Butter, , ,Dill, , ,KidneyBeans,Milk,Nutmeg, , , Unicorn, , Chocolate
 , ,Butter, ,Corn,Dill, , , , , , , , Unicorn, Yogurt, 
 ,Bread,Butter, , ,Dill, ,IceCream,KidneyBeans,Milk,Nutmeg,Onion, , , Yogurt, Chocolate
 , , , ,Corn, , , , ,Milk,Nutmeg,Onion,Sugar, , Yogurt, Chocolate
 ,Bread,Butter,Cheese, ,Dill,Eggs,IceCream,KidneyBeans, , , , , Unicorn, , Chocolate
 , , , , , , , , , , , , , , Yogurt, 
 ,Bread, , , , , ,IceCream, , , , , , , , Chocolate
 ,Bread,Butter,Cheese,Corn, , ,IceCream,KidneyBeans,Milk,Nutmeg, ,Sugar, , , 
 , ,Butter, , , , , , , , ,Onion, , , , 
 , ,Butter, , , , , , , , ,Onion, , , Yogurt, Chocolate
Apple,Bread,Butter, ,Corn, ,Eggs,IceCream,KidneyBeans, ,Nutmeg, , , Unicorn, Yogurt, Chocolate
 , , , ,Corn,Dill, , , , , ,Onion, , , , 
Apple, , , , , ,Eggs, ,KidneyBeans,Milk, , , , , , 
Apple, ,Butter,Cheese, ,Dill,Eggs,IceCream,KidneyBeans, , , ,Sugar, Unicorn, , Chocolate
 ,Bread, ,Cheese, ,Dill,Eggs,IceCream,KidneyBeans,Milk,Nutmeg,Onion,Sugar, Unicorn, Yogurt, 
 , , , , , , , , , ,Nutmeg, ,Sugar, , , 
Apple,Bread,Butter, , , , ,IceCream, ,Milk,Nutmeg, , , Unicorn, , 
Apple,Bread, , ,Corn,Dill, , ,KidneyBeans, , ,Onion,Sugar, , Yogurt, Chocolate
 , , , , , ,Eggs, , , , , , , , , 
 , ,Butter,Cheese, , ,Eggs, , ,Milk,Nutmeg,Onion,Sugar, Unicorn, , 
 ,Bread, , , ,Dill, ,IceCream, ,Milk,Nutmeg, , , Unicorn, , Chocolate
Apple, ,Butter, ,Corn, , ,IceCream,KidneyBeans, , , ,Sugar, , , 
 , ,Butter, , ,Dill, , , , , ,Onion,Sugar, Unicorn, , Chocolate
 ,Bread, , , , ,Eggs, , , , , , , Unicorn, , Chocolate
Apple, , , ,Corn, , , ,KidneyBeans,Milk,Nutmeg, , , , Yogurt, 
Apple, , , ,Corn,Dill, , , , , , ,Sugar, , , Chocolate
 , ,Butter,Cheese,Corn, ,Eggs,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, , Yogurt, Chocolate
 , , , , , , , , ,Milk, , , , , , Chocolate
